step,true_x,true_y,true_z,est_x,est_y,est_z,error_mm
0,0.01,0.006,1,0.0118617,0.00454477,0.998689,2.70227
1,0.02,0.012,1,0.016276,0.0131478,0.996213,5.43392
2,0.03,0.018,1,0.0324433,0.0187379,0.99624,4.54419
3,0.04,0.024,1,0.0447214,0.030492,1.00059,8.04873
4,0.05,0.03,1,0.055153,0.0253849,0.991607,10.8765
5,0.06,0.036,1,0.051417,0.036716,0.997511,8.96528
6,0.07,0.042,1,0.0649942,0.0404094,1.00449,6.90896
7,0.08,0.048,1,0.0820707,0.0560105,1.00247,8.63367
8,0.09,0.054,1,0.0906727,0.056891,1.00011,2.9702
9,0.1,0.06,1,0.102067,0.0643978,0.996449,6.01888
10,0.11,0.066,1,0.101815,0.0620493,0.991286,12.5912
11,0.12,0.072,1,0.120451,0.0724733,0.99618,3.8756
12,0.13,0.078,1,0.132007,0.0735393,1.01117,12.1948
13,0.14,0.084,1,0.137095,0.0819243,1.00402,5.37606
14,0.15,0.09,1,0.15225,0.0966221,0.999466,7.01418
15,0.16,0.096,1,0.159953,0.100409,0.990782,10.2177
16,0.17,0.102,1,0.176232,0.0950495,1.00792,12.2408
17,0.18,0.108,1,0.187335,0.0986914,0.998845,11.9073
18,0.19,0.114,1,0.194868,0.116323,1.01335,14.395
19,0.2,0.12,1,0.200298,0.117678,1.00972,9.99433
20,0.21,0.126,1,0.213946,0.129222,0.999494,5.11886
21,0.22,0.132,1,0.213387,0.131162,1.00681,9.53163
22,0.23,0.138,1,0.23281,0.138943,0.992941,7.65569
23,0.24,0.144,1,0.242227,0.142122,1.01012,10.5326
24,0.25,0.15,1,0.250261,0.148979,1.00683,6.91011
25,0.26,0.156,1,0.250106,0.155389,1.00025,9.91623
26,0.27,0.162,1,0.267647,0.166589,1.00607,7.96634
27,0.28,0.168,1,0.287893,0.180503,1.00501,15.6119
28,0.29,0.174,1,0.286723,0.170092,0.995262,6.96095
29,0.3,0.18,1,0.301294,0.183246,1.01218,12.6728
30,0.31,0.186,1,0.314279,0.185712,1.01139,12.1707
31,0.32,0.192,1,0.324094,0.198564,1.00019,7.73852
32,0.33,0.198,1,0.336051,0.187074,0.991402,15.1636
33,0.34,0.204,1,0.336876,0.201745,0.987274,13.2969
34,0.35,0.21,1,0.356905,0.21976,1.01796,21.5743
35,0.36,0.216,1,0.35967,0.217525,0.996414,3.91044
36,0.37,0.222,1,0.374163,0.227382,1.03948,40.0598
37,0.38,0.228,1,0.382316,0.228412,1.00595,6.39515
38,0.39,0.234,1,0.396172,0.237179,0.994008,9.17045
39,0.4,0.24,1,0.403661,0.23919,0.993122,7.83302
40,0.41,0.246,1,0.414977,0.247116,1.00529,7.34568
41,0.42,0.252,1,0.415073,0.247602,0.994905,8.34142
42,0.43,0.258,1,0.43288,0.259311,0.98539,14.9491
